step,best_idx,offset,steer,free_ahead,speed
132,585,0.0833,0.0292,7.0148,4.0000
133,574,0.0630,0.0220,5.4607,2.8000
134,585,0.0833,0.0292,6.9691,4.0000
135,573,0.0611,0.0214,5.4361,2.8000
136,584,0.0815,0.0285,6.9166,4.0000
137,572,0.0593,0.0207,5.4247,2.8000
138,584,0.0815,0.0285,7.1479,4.0000
139,572,0.0593,0.0207,5.3741,2.8000
140,583,0.0796,0.0279,7.1181,4.0000
141,572,0.0593,0.0207,5.3550,2.8000
142,583,0.0796,0.0279,7.0836,4.0000
143,571,0.0574,0.0201,5.3521,2.8000
144,583,0.0796,0.0279,7.2658,4.0000
145,571,0.0574,0.0201,5.3177,2.8000
146,582,0.0778,0.0272,7.2725,4.0000
147,571,0.0574,0.0201,5.2934,2.8000
148,582,0.0778,0.0272,7.2021,4.0000
149,570,0.0556,0.0194,5.2200,2.8000
150,581,0.0759,0.0266,7.5446,4.0000
151,570,0.0556,0.0194,5.2157,2.8000
152,581,0.0759,0.0266,7.4777,4.0000
153,570,0.0556,0.0194,5.5434,2.8000
154,580,0.0741,0.0259,7.4447,4.0000
155,570,0.0556,0.0194,5.4986,2.8000
156,580,0.0741,0.0259,7.6553,4.0000
157,570,0.0556,0.0194,5.4826,2.8000
158,579,0.0722,0.0253,7.9656,4.0000
159,569,0.0537,0.0188,5.4382,2.8000
160,579,0.0722,0.0253,7.9770,4.0000
161,569,0.0537,0.0188,5.4262,2.8000
162,579,0.0722,0.0253,7.9173,4.0000
163,568,0.0519,0.0181,5.6733,2.8000
164,578,0.0704,0.0246,8.1559,4.0000
165,568,0.0519,0.0181,5.6656,2.8000
166,578,0.0704,0.0246,8.3534,4.0000
167,568,0.0519,0.0181,5.6556,2.8000
168,577,0.0685,0.0240,8.3210,4.0000
169,567,0.0500,0.0175,5.5929,2.8000
170,577,0.0685,0.0240,8.5592,4.0000
171,568,0.0519,0.0181,5.5363,2.8000
172,576,0.0667,0.0233,8.5437,4.0000
173,568,0.0519,0.0181,5.5251,2.8000
