"Step","dqn - train/reward_mean","dqn - train/reward_mean__MIN","dqn - train/reward_mean__MAX"
"39","-73.61234474295559","-73.61234474295559","-73.61234474295559"
"40","-73.98800888735568","-73.98800888735568","-73.98800888735568"
"41","-73.36379237459381","-73.36379237459381","-73.36379237459381"
"42","-73.6291261441296","-73.6291261441296","-73.6291261441296"
"43","-74.5964936255694","-74.5964936255694","-74.5964936255694"
"44","-74.01430679855615","-74.01430679855615","-74.01430679855615"
"45","-74.38141654893342","-74.38141654893342","-74.38141654893342"
"46","-74.60274615642898","-74.60274615642898","-74.60274615642898"
"47","-75.16002440410963","-75.16002440410963","-75.16002440410963"
"48","-74.62073449982563","-74.62073449982563","-74.62073449982563"
"49","-74.07206341376224","-74.07206341376224","-74.07206341376224"
"50","-74.24744786103255","-74.24744786103255","-74.24744786103255"
"51","-73.72170091460586","-73.72170091460586","-73.72170091460586"
"52","-73.2079288977055","-73.2079288977055","-73.2079288977055"
"53","-73.50744390888315","-73.50744390888315","-73.50744390888315"
"54","-73.72993163240177","-73.72993163240177","-73.72993163240177"
"55","-73.29413849348202","-73.29413849348202","-73.29413849348202"
"56","-73.46571616787696","-73.46571616787696","-73.46571616787696"
"57","-73.68743931357504","-73.68743931357504","-73.68743931357504"
"58","-73.3011420261163","-73.3011420261163","-73.3011420261163"
"59","-72.87683093108205","-72.87683093108205","-72.87683093108205"
"60","-72.50946078021079","-72.50946078021079","-72.50946078021079"
"61","-73.09888121052826","-73.09888121052826","-73.09888121052826"
"62","-73.5277077100956","-73.5277077100956","-73.5277077100956"
"63","-73.76617669274187","-73.76617669274187","-73.76617669274187"
"64","-74.05396789589531","-74.05396789589531","-74.05396789589531"
"65","-74.40340188452213","-74.40340188452213","-74.40340188452213"
"66","-74.00224237456507","-74.00224237456507","-74.00224237456507"
"67","-74.1385560748719","-74.1385560748719","-74.1385560748719"
"68","-73.81497145671464","-73.81497145671464","-73.81497145671464"
"69","-73.40827249473702","-73.40827249473702","-73.40827249473702"
"70","-73.70555369356339","-73.70555369356339","-73.70555369356339"
"71","-73.9000088087948","-73.9000088087948","-73.9000088087948"
"72","-74.00055096719451","-74.00055096719451","-74.00055096719451"
"73","-74.28952181817642","-74.28952181817642","-74.28952181817642"
"74","-74.41780110019396","-74.41780110019396","-74.41780110019396"
"75","-74.53365009307822","-74.53365009307822","-74.53365009307822"
"76","-74.63858320122227","-74.63858320122227","-74.63858320122227"
"77","-74.72810416664382","-74.72810416664382","-74.72810416664382"
"78","-74.80671878454525","-74.80671878454525","-74.80671878454525"
"79","-74.40232951525869","-74.40232951525869","-74.40232951525869"
"80","-74.51093440235672","-74.51093440235672","-74.51093440235672"
"81","-74.74896635696899","-74.74896635696899","-74.74896635696899"
"82","-74.4112037696486","-74.4112037696486","-74.4112037696486"
"83","-74.51536477294277","-74.51536477294277","-74.51536477294277"
"84","-74.18180059699219","-74.18180059699219","-74.18180059699219"
"85","-74.25895798090154","-74.25895798090154","-74.25895798090154"
"86","-73.95464640938059","-73.95464640938059","-73.95464640938059"
"87","-74.4332651610044","-74.4332651610044","-74.4332651610044"
"88","-74.6493240474212","-74.6493240474212","-74.6493240474212"
"89","-74.72291915170983","-74.72291915170983","-74.72291915170983"
"90","-74.46803362578535","-74.46803362578535","-74.46803362578535"
"91","-74.77999110365828","-74.77999110365828","-74.77999110365828"
"92","-74.48766523401181","-74.48766523401181","-74.48766523401181"
"93","-74.57932575413506","-74.57932575413506","-74.57932575413506"
"94","-74.87541086084","-74.87541086084","-74.87541086084"
"95","-75.231348275839","-75.231348275839","-75.231348275839"
"96","-75.5084301130164","-75.5084301130164","-75.5084301130164"
"97","-75.87166150693378","-75.87166150693378","-75.87166150693378"
"98","-75.95033661209074","-75.95033661209074","-75.95033661209074"
"99","-76.19700890876831","-76.19700890876831","-76.19700890876831"
"100","-76.33371084684943","-76.33371084684943","-76.33371084684943"
"101","-76.33528096639988","-76.33528096639988","-76.33528096639988"
"102","-76.30063680980791","-76.30063680980791","-76.30063680980791"
"103","-77.0509081191101","-77.0509081191101","-77.0509081191101"
