"Step","td3 - train/reward_mean","td3 - train/reward_mean__MIN","td3 - train/reward_mean__MAX"
"1","39.22955701415776","39.22955701415776","39.22955701415776"
"2","27.500994543494016","27.500994543494016","27.500994543494016"
"3","-10.19574334724166","-10.19574334724166","-10.19574334724166"
"4","-20.873712763139338","-20.873712763139338","-20.873712763139338"
"5","-22.31210442615993","-22.31210442615993","-22.31210442615993"
"6","-23.48362204843094","-23.48362204843094","-23.48362204843094"
"7","-7.120587799758401","-7.120587799758401","-7.120587799758401"
"8","-9.527419216517956","-9.527419216517956","-9.527419216517956"
"9","-0.2650491682660585","-0.2650491682660585","-0.2650491682660585"
"10","3.592840398468252","3.592840398468252","3.592840398468252"
"11","18.757502496743903","18.757502496743903","18.757502496743903"
"12","30.3021866253827","30.3021866253827","30.3021866253827"
"13","31.484033307771405","31.484033307771405","31.484033307771405"
"14","42.36455985630476","42.36455985630476","42.36455985630476"
"15","51.62306697113575","51.62306697113575","51.62306697113575"
"16","59.97817105944978","59.97817105944978","59.97817105944978"
"17","67.9304359164594","67.9304359164594","67.9304359164594"
"18","75.90194824838142","75.90194824838142","75.90194824838142"
"19","82.63054463554919","82.63054463554919","82.63054463554919"
"20","89.91516863010693","89.91516863010693","89.91516863010693"
"21","91.0990421805341","91.0990421805341","91.0990421805341"
"22","92.25027218744336","92.25027218744336","92.25027218744336"
"23","92.74002988607833","92.74002988607833","92.74002988607833"
"24","93.0151342853175","93.0151342853175","93.0151342853175"
"25","92.6143832863093","92.6143832863093","92.6143832863093"
"26","92.67692501348378","92.67692501348378","92.67692501348378"
"27","92.3412987015666","92.3412987015666","92.3412987015666"
"28","92.00228269988345","92.00228269988345","92.00228269988345"
"29","89.38819401892422","89.38819401892422","89.38819401892422"
"30","89.42061040154803","89.42061040154803","89.42061040154803"
"31","89.3117141249123","89.3117141249123","89.3117141249123"
"32","88.88227708674958","88.88227708674958","88.88227708674958"
"33","88.81149736710843","88.81149736710843","88.81149736710843"
"34","88.51470382557625","88.51470382557625","88.51470382557625"
"35","88.51054359357263","88.51054359357263","88.51054359357263"
"36","88.49461305458479","88.49461305458479","88.49461305458479"
"37","88.51408921587525","88.51408921587525","88.51408921587525"
"38","89.0588462940968","89.0588462940968","89.0588462940968"
"39","88.24736439986027","88.24736439986027","88.24736439986027"
"40","87.59959780546015","87.59959780546015","87.59959780546015"
"41","86.78000138416175","86.78000138416175","86.78000138416175"
"42","85.64191729249536","85.64191729249536","85.64191729249536"
"43","85.49379186637715","85.49379186637715","85.49379186637715"
"44","84.6364043276206","84.6364043276206","84.6364043276206"
"45","85.34862267038261","85.34862267038261","85.34862267038261"
"46","85.06395982618858","85.06395982618858","85.06395982618858"
"47","84.73048591408123","84.73048591408123","84.73048591408123"
"48","84.9164944091893","84.9164944091893","84.9164944091893"
"49","84.8929597063944","84.8929597063944","84.8929597063944"
"50","84.88629739521478","84.88629739521478","84.88629739521478"
"51","84.18756397454212","84.18756397454212","84.18756397454212"
"52","84.70373732036443","84.70373732036443","84.70373732036443"
"53","85.89575158718937","85.89575158718937","85.89575158718937"
"54","88.80274416607561","88.80274416607561","88.80274416607561"
"55","93.02716555078462","93.02716555078462","93.02716555078462"
"56","96.53974378834444","96.53974378834444","96.53974378834444"
"57","98.91499763856623","98.91499763856623","98.91499763856623"
"58","99.3476321254892","99.3476321254892","99.3476321254892"
"59","99.73057263864202","99.73057263864202","99.73057263864202"
"60","97.98033714871902","97.98033714871902","97.98033714871902"
"61","96.39796327722982","96.39796327722982","96.39796327722982"
"62","94.74749034466062","94.74749034466062","94.74749034466062"
"63","93.7948664682539","93.7948664682539","93.7948664682539"
"64","96.13720089186887","96.13720089186887","96.13720089186887"
"65","98.15221565616449","98.15221565616449","98.15221565616449"
"66","100.06379289834882","100.06379289834882","100.06379289834882"
"67","100.89508668951949","100.89508668951949","100.89508668951949"
"68","101.47930860433216","101.47930860433216","101.47930860433216"
"69","101.79123226556328","101.79123226556328","101.79123226556328"
"70","102.1671911503538","102.1671911503538","102.1671911503538"
"71","100.73797673500037","100.73797673500037","100.73797673500037"
"72","100.16596238876653","100.16596238876653","100.16596238876653"
"73","98.40035772742277","98.40035772742277","98.40035772742277"
"74","97.62785604665449","97.62785604665449","97.62785604665449"
"75","98.05331209550896","98.05331209550896","98.05331209550896"
"76","97.85490007487124","97.85490007487124","97.85490007487124"
"77","98.56098640939821","98.56098640939821","98.56098640939821"
"78","98.57287970813225","98.57287970813225","98.57287970813225"
"79","98.75003137458252","98.75003137458252","98.75003137458252"
"80","99.89662117538876","99.89662117538876","99.89662117538876"
"81","101.08647058282905","101.08647058282905","101.08647058282905"
"82","102.1280612151623","102.1280612151623","102.1280612151623"
"83","100.36656615283549","100.36656615283549","100.36656615283549"
"84","98.42941264776763","98.42941264776763","98.42941264776763"
"85","96.78750085486007","96.78750085486007","96.78750085486007"
"86","96.28454162862039","96.28454162862039","96.28454162862039"
"87","94.43918651471296","94.43918651471296","94.43918651471296"
