Frame,Sub Frame,"Position - Limo_04",,,"Rotation (Helical) - Limo_04",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
86,0,"48.9576","26.1833","145.201","-0.0700054","0.0127947","180.679"
87,0,"48.9365","26.3547","145.236","-0.0877799","-0.33837","180.644"
88,0,"48.9062","26.3852","145.112","0.0200925","-0.443514","180.656"
89,0,"48.9357","26.1736","145.133","0.00822646","-0.156416","180.629"
90,0,"48.9769","26.2433","145.18","-0.0567783","-0.351862","180.752"
91,0,"48.9129","26.1907","145.087","-0.0768337","-0.347405","180.692"
92,0,"48.9159","26.1327","145.061","0.0271867","-0.0987826","180.631"
93,0,"48.8281","26.2446","145.037","0.0759765","-0.234318","180.656"
94,0,"48.8676","26.3488","145.031","0.0093541","-0.313679","180.64"
95,0,"48.9275","26.3578","145.324","-0.147861","-0.276601","180.646"
96,0,"48.906","26.2324","145.044","0.0168224","-0.167195","180.62"
97,0,"48.8964","26.2103","145.087","0.0511188","-0.270271","180.637"
98,0,"48.8846","26.4319","145.105","-0.000636787","-0.436312","180.682"
99,0,"48.9148","26.1981","145.092","-0.0138213","-0.0164532","180.635"
100,0,"48.9137","26.2625","145.153","-0.0185818","-0.214171","180.667"
101,0,"48.9099","26.1729","144.959","0.0146605","-0.336475","180.707"
102,0,"49.0068","25.983","145.095","-0.0684322","0.0637078","180.714"
103,0,"48.9293","26.2406","145.129","0.033771","-0.277","180.678"
104,0,"48.9858","26.0157","145.16","-0.0193841","0.0769658","180.656"
105,0,"48.9911","26.1245","145.143","-0.0792768","-0.202979","180.741"
106,0,"48.946","26.0674","145.15","-0.0494929","0.00236342","180.636"
107,0,"48.9144","26.4484","145.226","-0.0427537","-0.538636","180.659"
108,0,"48.969","26.1759","145.222","-0.0611765","-0.0617348","180.649"
109,0,"48.8036","26.4076","145.007","0.051164","-0.377423","180.656"
110,0,"48.9035","26.4039","145.095","0.00619171","-0.425622","180.675"
111,0,"48.9325","26.177","145.233","-0.0377394","-0.0355865","180.655"
112,0,"48.9736","25.8891","144.986","0.00683033","0.00537785","180.706"
113,0,"48.9069","26.2164","145.006","0.080583","-0.216735","180.656"
114,0,"48.9288","26.1349","145.098","-0.0555806","-0.20979","180.73"
115,0,"48.8788","26.0423","144.909","0.0993757","-0.0588943","180.607"
116,0,"48.9596","26.2375","145.17","-0.0365425","-0.257454","180.66"
117,0,"48.9569","26.263","145.191","-0.0528844","-0.160491","180.63"
118,0,"48.9376","26.1517","145.076","0.0112093","-0.150266","180.642"
119,0,"48.9145","26.4657","145.193","0.0530867","-0.510491","180.716"
120,0,"48.938","26.2655","145.227","-0.0421523","-0.260824","180.669"
121,0,"48.9437","26.1155","144.984","0.0420935","-0.351151","180.716"
122,0,"48.8582","26.2964","145.04","0.0218554","-0.214722","180.66"
123,0,"48.9224","26.3031","145.104","0.0500019","-0.384185","180.658"
124,0,"48.8772","26.2922","145.036","0.00328619","-0.292829","180.639"
125,0,"48.8918","26.1096","144.982","0.0843535","-0.189956","180.621"
126,0,"48.9348","26.2028","145.052","0.0482102","-0.215827","180.662"
127,0,"48.8879","26.3264","145.042","0.0207057","-0.30036","180.647"
128,0,"48.9206","26.4713","145.136","0.00567411","-0.49384","180.696"
129,0,"48.9122","26.3262","145.03","0.0965144","-0.387838","180.676"
130,0,"48.9214","26.3603","145.068","-0.10579","-0.439619","180.705"
131,0,"48.9095","26.3864","145.059","-0.00604188","-0.380911","180.634"
132,0,"48.8902","26.2665","145.09","0.0126254","-0.247297","180.635"
133,0,"48.9263","26.271","145.195","-0.0322052","-0.12508","180.693"
134,0,"48.9499","26.4447","145.152","-0.0565853","-0.602476","180.78"
135,0,"48.9106","26.1603","145.046","-0.0407448","-0.0857842","180.613"
136,0,"48.8752","26.3311","145.108","0.00107304","-0.303748","180.68"
137,0,"48.9656","26.0727","145.099","0.00784243","-0.150117","180.75"
138,0,"48.819","26.5318","144.995","0.0983391","-0.446591","180.71"
139,0,"48.9314","26.2829","145.095","0.0548719","-0.337645","180.678"
140,0,"48.9075","26.2572","145.118","0.0135831","-0.151759","180.684"
141,0,"48.9207","26.2486","145.155","-0.00381682","-0.139929","180.642"
142,0,"48.9117","26.1561","145.145","-0.0360106","-0.126467","180.627"
143,0,"48.9016","26.2964","145.119","0.0250056","-0.334019","180.642"
144,0,"48.9158","26.2496","145.208","-0.0535254","-0.287916","180.651"
145,0,"48.9133","26.1563","145.036","0.0793534","-0.181557","180.636"
146,0,"48.9491","26.2187","145.051","0.00218637","-0.431918","180.749"
147,0,"48.9072","26.2997","145.139","0.0108994","-0.178428","180.694"
148,0,"48.9238","26.3756","145.259","-0.0439706","-0.506972","180.685"
149,0,"48.9083","26.4419","145.073","0.00863836","-0.480484","180.662"
150,0,"48.9671","26.2029","145.128","-0.0874949","-0.371079","180.727"
151,0,"48.9547","26.0876","145.13","-0.0399557","0.0159638","180.629"
152,0,"48.8913","26.2676","145.154","0.000461625","-0.21894","180.645"
153,0,"48.9658","26.3806","145.261","-0.0308551","-0.39554","180.701"
154,0,"48.8671","26.1252","144.99","0.0658845","-0.217908","180.59"
155,0,"48.9323","26.1579","145.141","-0.00787375","0.020117","180.678"
156,0,"48.9429","26.1919","145.024","0.00497521","-0.319719","180.625"
157,0,"48.8764","26.0532","144.857","0.169496","-0.189027","180.587"
158,0,"48.8482","26.341","144.966","0.0856503","-0.302065","180.65"
159,0,"48.9533","26.1837","145.22","-0.0787403","-0.0922977","180.668"
160,0,"48.8849","26.1226","145.037","0.0549765","-0.155059","180.639"
161,0,"48.9467","26.3047","145.115","-0.00115696","-0.337401","180.657"
162,0,"48.9176","25.8868","144.956","0.0693744","0.18434","180.591"
163,0,"48.9071","26.147","145.138","-0.0480257","-0.0418652","180.622"
164,0,"48.8858","26.1416","144.97","0.0810915","-0.216301","180.621"
165,0,"48.8778","26.4044","145.13","0.0535051","-0.361919","180.694"
166,0,"48.9577","26.0752","144.977","-0.00775679","-0.205748","180.706"
167,0,"48.9242","26.1411","145.063","-0.0287287","-0.119348","180.657"
168,0,"48.929","26.2087","145.048","0.0738223","-0.220142","180.672"
169,0,"48.9169","26.187","144.984","0.0481749","-0.141413","180.657"
170,0,"48.9005","26.3689","145.192","-0.019851","-0.342461","180.675"
171,0,"48.9063","26.2315","145.093","0.00418696","-0.117177","180.657"
172,0,"48.9041","26.3102","145.059","-0.0355964","-0.337547","180.767"
173,0,"48.8902","26.512","145.096","-0.00808886","-0.533286","180.677"
174,0,"48.916","26.3037","145.097","0.0455346","-0.377702","180.677"
175,0,"48.9334","26.3987","145.101","0.0148629","-0.637181","180.668"
176,0,"48.8708","26.2324","145.097","0.0353355","-0.302903","180.636"
177,0,"48.9234","26.3476","145.107","0.0189417","-0.292017","180.687"
178,0,"48.9237","26.1513","144.967","0.13568","-0.143939","180.647"
179,0,"48.9334","26.3985","145.207","-0.0304512","-0.409571","180.678"
180,0,"48.9328","26.2834","145.155","-0.0492225","-0.333735","180.649"
181,0,"48.9845","26.2047","145.181","0.00236481","-0.174085","180.675"
182,0,"48.9074","26.2258","145.09","0.0529342","-0.116929","180.693"
