"Step","a2c - train/reward_mean","a2c - train/reward_mean__MIN","a2c - train/reward_mean__MAX"
"1","23.351595061365515","23.351595061365515","23.351595061365515"
"2","29.252359139267355","29.252359139267355","29.252359139267355"
"3","5.580964636057615","5.580964636057615","5.580964636057615"
"4","11.822429109364748","11.822429109364748","11.822429109364748"
"5","15.92928134035319","15.92928134035319","15.92928134035319"
"6","18.803804960257064","18.803804960257064","18.803804960257064"
"7","22.44434289793467","22.44434289793467","22.44434289793467"
"8","23.898623991404747","23.898623991404747","23.898623991404747"
"9","25.171837244903955","25.171837244903955","25.171837244903955"
"10","26.661829730772297","26.661829730772297","26.661829730772297"
"11","27.593940595416246","27.593940595416246","27.593940595416246"
"12","28.39900804070203","28.39900804070203","28.39900804070203"
"13","37.772536054179696","37.772536054179696","37.772536054179696"
"14","39.98731577079369","39.98731577079369","39.98731577079369"
"15","41.745176103608294","41.745176103608294","41.745176103608294"
"16","41.32173672972385","41.32173672972385","41.32173672972385"
"17","35.380134047630506","35.380134047630506","35.380134047630506"
"18","30.632266584387658","30.632266584387658","30.632266584387658"
"19","29.841516757988995","29.841516757988995","29.841516757988995"
"20","29.817635683824484","29.817635683824484","29.817635683824484"
"21","27.704194201105217","27.704194201105217","27.704194201105217"
"22","23.226451222354875","23.226451222354875","23.226451222354875"
"23","17.809381210987972","17.809381210987972","17.809381210987972"
"24","14.617032653937107","14.617032653937107","14.617032653937107"
"25","13.576320184668294","13.576320184668294","13.576320184668294"
"26","11.314977497913507","11.314977497913507","11.314977497913507"
"27","9.827496139534222","9.827496139534222","9.827496139534222"
"28","8.398493254601947","8.398493254601947","8.398493254601947"
"29","5.28880351901773","5.28880351901773","5.28880351901773"
"30","4.617571705435209","4.617571705435209","4.617571705435209"
"31","2.735154348856492","2.735154348856492","2.735154348856492"
"32","3.4499722033315265","3.4499722033315265","3.4499722033315265"
"33","4.162952233200265","4.162952233200265","4.162952233200265"
"34","2.0252211628411554","2.0252211628411554","2.0252211628411554"
"35","2.6598453643424103","2.6598453643424103","2.6598453643424103"
"36","3.4967172356256118","3.4967172356256118","3.4967172356256118"
"37","1.78277168119235","1.78277168119235","1.78277168119235"
"38","1.1243086418735881","1.1243086418735881","1.1243086418735881"
"39","1.6293052260320668","1.6293052260320668","1.6293052260320668"
"40","2.378462845595641","2.378462845595641","2.378462845595641"
"41","1.0464585025918318","1.0464585025918318","1.0464585025918318"
"42","1.5423258735453211","1.5423258735453211","1.5423258735453211"
"43","2.0468389100772817","2.0468389100772817","2.0468389100772817"
"44","2.9183413044262454","2.9183413044262454","2.9183413044262454"
"45","4.339186075367939","4.339186075367939","4.339186075367939"
"46","6.109383106430988","6.109383106430988","6.109383106430988"
"47","7.0540878023683495","7.0540878023683495","7.0540878023683495"
"48","7.512636791601229","7.512636791601229","7.512636791601229"
"49","7.887876562201014","7.887876562201014","7.887876562201014"
"50","8.686751207520137","8.686751207520137","8.686751207520137"
"51","9.19829895905865","9.19829895905865","9.19829895905865"
"52","9.521524401199713","9.521524401199713","9.521524401199713"
"53","9.074372630396677","9.074372630396677","9.074372630396677"
"54","8.836925252838194","8.836925252838194","8.836925252838194"
"55","8.460549695456972","8.460549695456972","8.460549695456972"
"56","8.741039508826361","8.741039508826361","8.741039508826361"
"57","7.498797804318887","7.498797804318887","7.498797804318887"
"58","7.906196502620928","7.906196502620928","7.906196502620928"
"59","8.302893440386624","8.302893440386624","8.302893440386624"
"60","8.60631656616218","8.60631656616218","8.60631656616218"
"61","8.84690932719348","8.84690932719348","8.84690932719348"
"62","7.881539427590343","7.881539427590343","7.881539427590343"
"63","8.13065414397288","8.13065414397288","8.13065414397288"
"64","8.362575105367341","8.362575105367341","8.362575105367341"
"65","8.563163294820026","8.563163294820026","8.563163294820026"
"66","8.744225964970996","8.744225964970996","8.744225964970996"
"67","8.926410232494678","8.926410232494678","8.926410232494678"
"68","9.094103288848332","9.094103288848332","9.094103288848332"
"69","8.692703338405304","8.692703338405304","8.692703338405304"
"70","8.230765685270724","8.230765685270724","8.230765685270724"
"71","6.668612659801844","6.668612659801844","6.668612659801844"
"72","5.166154293431949","5.166154293431949","5.166154293431949"
"73","4.73575754051395","4.73575754051395","4.73575754051395"
"74","4.546372056917863","4.546372056917863","4.546372056917863"
"75","4.150437008916633","4.150437008916633","4.150437008916633"
"76","3.813157550804853","3.813157550804853","3.813157550804853"
"77","3.534059255327591","3.534059255327591","3.534059255327591"
"78","2.9747837482849344","2.9747837482849344","2.9747837482849344"
"79","1.7454578435454442","1.7454578435454442","1.7454578435454442"
"80","1.2135872093185753","1.2135872093185753","1.2135872093185753"
"81","1.2444970752152091","1.2444970752152091","1.2444970752152091"
"82","0.9200885514767767","0.9200885514767767","0.9200885514767767"
"83","1.1973640218707424","1.1973640218707424","1.1973640218707424"
"84","1.181785569186364","1.181785569186364","1.181785569186364"
"85","0.8045735972642433","0.8045735972642433","0.8045735972642433"
"86","-0.38718083782052504","-0.38718083782052504","-0.38718083782052504"
"87","-0.8304914457997141","-0.8304914457997141","-0.8304914457997141"
