Frame,Sub Frame,"Position - Limo_02",,,"Position - Limo_04",,,"Rotation (Helical) - Limo_02",,,"Rotation (Helical) - Limo_04",,
,,"TX","TY","TZ","TX","TY","TZ","RX","RY","RZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","mm","mm","mm","°","°","°","°","°","°"
48,0,"-822.991","-864.372","144.309","87.4445","30.0984","141.336","1.48464","-1.66191","183.702","2.8483","-2.05255","183.342"
49,0,"-823.003","-864.354","144.326","87.4651","30.0931","141.324","1.47311","-1.66342","183.723","2.86412","-2.04187","183.335"
50,0,"-823.005","-864.387","144.306","87.4672","30.0805","141.31","1.5165","-1.70425","183.707","2.87607","-2.05512","183.335"
51,0,"-823.022","-864.386","144.332","87.5521","30.0757","141.157","1.47809","-1.65121","183.699","2.94803","-2.26377","183.334"
52,0,"-823.016","-864.403","144.296","87.6047","30.0613","141.047","1.5071","-1.65093","183.695","3.01181","-2.445","183.329"
53,0,"-823.044","-864.404","144.327","87.6148","29.9881","141.13","1.47406","-1.61347","183.711","2.93202","-2.25821","183.338"
54,0,"-823.024","-864.391","144.315","87.5965","29.8418","141.237","1.50514","-1.64772","183.7","2.90106","-2.005","183.283"
55,0,"-823.042","-864.392","144.32","87.6047","29.9983","141.136","1.52951","-1.67214","183.708","2.93555","-2.25473","183.347"
56,0,"-823.06","-864.387","144.343","87.6157","30.1023","141.055","1.51572","-1.63328","183.706","2.97081","-2.42272","183.362"
57,0,"-823.103","-864.423","144.373","87.6026","30.0352","141.142","1.52577","-1.61728","183.692","2.9547","-2.27186","183.324"
58,0,"-823.167","-864.437","144.409","87.6194","30.0566","141.12","1.53835","-1.56041","183.684","2.95207","-2.27887","183.333"
59,0,"-823.256","-864.438","144.461","87.591","30.0009","141.096","1.56622","-1.50899","183.675","2.96587","-2.29861","183.333"
60,0,"-823.335","-864.507","144.503","87.6342","30.048","141.117","1.59807","-1.44382","183.649","2.95573","-2.29352","183.337"
61,0,"-823.418","-864.493","144.565","87.6154","30.0409","141.098","1.63046","-1.3845","183.663","2.94449","-2.32706","183.353"
62,0,"-823.445","-864.505","144.605","87.6259","30.0509","141.11","1.63936","-1.26464","183.636","2.95844","-2.3089","183.35"
63,0,"-823.451","-864.535","144.621","87.5676","29.8533","141.221","1.65978","-1.10527","183.611","2.89154","-2.04937","183.297"
64,0,"-823.432","-864.541","144.599","87.6146","29.9809","141.135","1.71027","-1.03882","183.6","2.9452","-2.253","183.312"
65,0,"-823.534","-864.849","144.459","87.6216","29.8751","141.213","1.80137","-0.539386","183.51","2.87243","-2.03623","183.324"
66,0,"-823.546","-864.953","144.399","87.6238","30.0178","141.144","1.85503","-0.360564","183.465","2.94632","-2.26144","183.329"
67,0,"-823.792","-865.617","144.101","87.6192","29.8436","141.257","1.97775","0.632128","183.285","2.88768","-2.01066","183.276"
68,0,"-823.801","-865.633","144.083","87.6246","30.1002","141.111","2.01708","0.635449","183.267","2.95774","-2.32471","183.359"
69,0,"-823.848","-865.625","144.131","87.5756","29.8562","141.248","2.02046","0.651596","183.283","2.8835","-2.0079","183.299"
70,0,"-823.857","-865.634","144.151","87.5976","29.9956","141.159","2.02496","0.627307","183.278","2.93113","-2.23473","183.334"
71,0,"-823.888","-865.63","144.168","87.5827","30.0316","141.133","2.06249","0.528077","183.285","2.93679","-2.2554","183.336"
72,0,"-823.922","-865.606","144.188","87.5825","30.0168","141.164","2.10341","0.451353","183.3","2.91736","-2.22719","183.352"
73,0,"-823.963","-865.59","144.259","87.5702","30.0559","141.178","2.12344","0.300493","183.308","2.91829","-2.18417","183.358"
74,0,"-824.021","-865.547","144.294","87.5753","30.0205","141.172","2.18881","0.149193","183.33","2.93432","-2.15601","183.311"
75,0,"-824.093","-865.536","144.39","87.5586","30.11","141.202","2.18488","0.0229509","183.347","2.91679","-2.21046","183.357"
76,0,"-824.138","-865.471","144.436","87.5149","29.819","141.359","2.24588","-0.12403","183.372","2.81064","-1.82303","183.28"
77,0,"-824.183","-865.452","144.479","87.5649","30.0534","141.257","2.30076","-0.302138","183.385","2.89228","-2.08756","183.34"
78,0,"-824.228","-865.408","144.508","87.5767","30.0387","141.195","2.34345","-0.410891","183.401","2.90508","-2.18084","183.336"
79,0,"-824.256","-865.372","144.573","87.5727","30.0468","141.22","2.34579","-0.446791","183.434","2.91468","-2.18069","183.355"
80,0,"-824.297","-865.394","144.556","87.5785","30.0286","141.184","2.37468","-0.545172","183.41","2.92009","-2.15718","183.333"
81,0,"-824.301","-865.375","144.591","87.5081","30.1385","141.291","2.38313","-0.540312","183.426","2.88006","-2.10688","183.353"
82,0,"-824.302","-865.375","144.62","87.4944","30.0138","141.345","2.38063","-0.581836","183.424","2.83328","-1.95122","183.324"
83,0,"-824.305","-865.367","144.628","87.5647","30.0539","141.21","2.40549","-0.63457","183.424","2.91088","-2.18748","183.345"
84,0,"-824.301","-865.377","144.614","87.5568","30.0337","141.182","2.40892","-0.638893","183.421","2.91557","-2.2055","183.34"
85,0,"-824.292","-865.374","144.624","87.5899","30.0268","141.163","2.40769","-0.635657","183.423","2.92924","-2.23515","183.337"
86,0,"-824.31","-865.353","144.598","87.6015","29.869","141.244","2.43206","-0.650104","183.437","2.88991","-1.99907","183.292"
87,0,"-824.318","-865.331","144.609","87.5881","29.8292","141.251","2.42775","-0.653426","183.454","2.86284","-2.02136","183.309"
88,0,"-824.313","-865.361","144.618","87.5872","29.9217","141.148","2.41425","-0.656818","183.428","2.95276","-2.20829","183.293"
89,0,"-824.332","-865.389","144.614","87.6257","29.8911","141.254","2.41087","-0.63431","183.423","2.8848","-2.03342","183.299"
90,0,"-824.323","-865.354","144.618","87.5816","29.8007","141.24","2.4207","-0.653794","183.434","2.86211","-1.98519","183.302"
91,0,"-824.342","-865.362","144.632","87.6247","30.0133","141.139","2.41609","-0.649372","183.437","2.94126","-2.28916","183.349"
92,0,"-824.327","-865.343","144.616","87.6009","29.8866","141.196","2.41368","-0.660173","183.444","2.89355","-2.07335","183.319"
93,0,"-824.325","-865.369","144.609","87.6483","30.0957","141.112","2.41696","-0.651342","183.429","2.94817","-2.31268","183.37"
94,0,"-824.31","-865.354","144.617","87.6573","30.0475","141.091","2.4169","-0.656394","183.43","2.95573","-2.29693","183.343"
95,0,"-824.323","-865.366","144.618","87.6246","29.9923","141.112","2.39733","-0.625471","183.437","2.9472","-2.27364","183.317"
96,0,"-824.32","-865.365","144.622","87.5529","29.8428","141.262","2.39366","-0.641964","183.435","2.86292","-2.00624","183.294"
97,0,"-824.315","-865.366","144.623","87.6056","30.052","141.129","2.40466","-0.651198","183.422","2.91335","-2.30873","183.363"
98,0,"-824.31","-865.356","144.65","87.5878","29.9996","141.107","2.39085","-0.685482","183.437","2.90877","-2.29713","183.345"
99,0,"-824.305","-865.355","144.662","87.5451","29.9249","141.149","2.38876","-0.705281","183.432","2.86777","-2.23527","183.323"
100,0,"-824.292","-865.289","144.665","87.5646","30.0047","141.096","2.39154","-0.766077","183.452","2.85915","-2.30045","183.346"
101,0,"-824.281","-865.24","144.703","87.5038","29.9487","141.133","2.36474","-0.824847","183.467","2.78404","-2.28722","183.337"
102,0,"-824.263","-865.16","144.741","87.4649","29.8752","141.143","2.34764","-0.978625","183.501","2.70759","-2.21437","183.335"
103,0,"-824.231","-865.044","144.808","87.4491","29.7587","141.248","2.32044","-1.10268","183.541","2.58095","-1.99217","183.311"
104,0,"-824.208","-864.99","144.845","87.3909","29.864","141.11","2.29787","-1.29262","183.545","2.58954","-2.27832","183.344"
105,0,"-824.161","-864.869","144.905","87.3511","30.0335","141.078","2.2757","-1.4068","183.587","2.57307","-2.4196","183.401"
