"Step","skilled-sweep-15 - train/reward_mean","skilled-sweep-15 - train/reward_mean__MIN","skilled-sweep-15 - train/reward_mean__MAX"
"1","43.643205912580015","43.643205912580015","43.643205912580015"
"2","36.59919396882469","36.59919396882469","36.59919396882469"
"3","39.25221397930485","39.25221397930485","39.25221397930485"
"4","36.39066030574759","36.39066030574759","36.39066030574759"
"5","36.108585680188845","36.108585680188845","36.108585680188845"
"6","35.95217548609071","35.95217548609071","35.95217548609071"
"7","36.785116517945426","36.785116517945426","36.785116517945426"
"8","36.691612186285056","36.691612186285056","36.691612186285056"
"9","38.52080403777654","38.52080403777654","38.52080403777654"
"10","42.274089329803246","42.274089329803246","42.274089329803246"
"11","45.25373683710826","45.25373683710826","45.25373683710826"
"12","47.95580229397698","47.95580229397698","47.95580229397698"
"13","49.72323248816359","49.72323248816359","49.72323248816359"
"14","54.58329532456576","54.58329532456576","54.58329532456576"
"15","53.36670355413226","53.36670355413226","53.36670355413226"
"16","52.686643965851545","52.686643965851545","52.686643965851545"
"17","52.266055822882606","52.266055822882606","52.266055822882606"
"18","51.96704809395143","51.96704809395143","51.96704809395143"
"19","51.3923108212705","51.3923108212705","51.3923108212705"
"20","53.37085270952957","53.37085270952957","53.37085270952957"
"21","54.74626714138902","54.74626714138902","54.74626714138902"
"22","57.69408960239591","57.69408960239591","57.69408960239591"
"23","56.45005125104217","56.45005125104217","56.45005125104217"
"24","55.18945115344104","55.18945115344104","55.18945115344104"
"25","53.86795559604885","53.86795559604885","53.86795559604885"
"26","52.42282065546113","52.42282065546113","52.42282065546113"
"27","51.25903312176578","51.25903312176578","51.25903312176578"
"28","46.387650396020035","46.387650396020035","46.387650396020035"
"29","47.27593484740295","47.27593484740295","47.27593484740295"
"30","46.45304474409398","46.45304474409398","46.45304474409398"
"31","42.46762182179936","42.46762182179936","42.46762182179936"
"32","38.17369057886572","38.17369057886572","38.17369057886572"
"33","34.204579420509454","34.204579420509454","34.204579420509454"
"34","32.93345181068221","32.93345181068221","32.93345181068221"
"35","32.516077297122685","32.516077297122685","32.516077297122685"
"36","32.13746009978705","32.13746009978705","32.13746009978705"
"37","30.178664055925076","30.178664055925076","30.178664055925076"
"38","26.649536103667312","26.649536103667312","26.649536103667312"
"39","25.512445328012408","25.512445328012408","25.512445328012408"
"40","24.148257871643","24.148257871643","24.148257871643"
"41","24.92395435293665","24.92395435293665","24.92395435293665"
"42","24.735559351760283","24.735559351760283","24.735559351760283"
"43","24.636475332791992","24.636475332791992","24.636475332791992"
"44","25.60282059587057","25.60282059587057","25.60282059587057"
"45","24.775714093411807","24.775714093411807","24.775714093411807"
"46","25.635142008739816","25.635142008739816","25.635142008739816"
"47","26.631515932335034","26.631515932335034","26.631515932335034"
"48","26.516180930781655","26.516180930781655","26.516180930781655"
"49","26.51628960996548","26.51628960996548","26.51628960996548"
"50","26.62312235918478","26.62312235918478","26.62312235918478"
"51","26.545174534529604","26.545174534529604","26.545174534529604"
"52","26.473218682836606","26.473218682836606","26.473218682836606"
"53","26.38468334409694","26.38468334409694","26.38468334409694"
"54","26.3189851667234","26.3189851667234","26.3189851667234"
"55","26.31110135970997","26.31110135970997","26.31110135970997"
"56","26.131220346188847","26.131220346188847","26.131220346188847"
"57","26.09949549497207","26.09949549497207","26.09949549497207"
"58","26.1444036835084","26.1444036835084","26.1444036835084"
"59","26.131392722670185","26.131392722670185","26.131392722670185"
"60","26.29473664590332","26.29473664590332","26.29473664590332"
