x,y,theta,velocity
3.029131,3.789442,2.056695,
3.006196,3.833873,2.039611,
2.983948,3.878652,2.025348,
2.962289,3.923719,2.013974,
2.941066,3.968993,2.005510,
2.920173,4.014421,1.999803,
2.899467,4.059935,1.997033,
2.878827,4.105478,1.997061,
2.858118,4.150990,1.999966,
2.837214,4.196412,2.005859,
2.815971,4.241677,2.014628,
2.794272,4.286726,2.026633,
2.771949,4.331467,2.041818,
2.748893,4.375835,2.060039,
2.724954,4.419734,2.081967,
2.699976,4.463048,2.107166,
2.673857,4.505683,2.135883,
2.646434,4.547492,2.168566,
2.617586,4.588329,2.204428,
2.587238,4.628063,2.243844,
2.555265,4.666502,2.287071,
2.521600,4.703466,2.332817,
2.486250,4.738821,2.381238,
2.449170,4.772357,2.432279,
2.410401,4.803925,2.483536,
2.370084,4.833490,2.534755,
2.328289,4.860929,2.583753,
2.285272,4.886408,2.630516,
2.241097,4.909824,2.675586,
2.195960,4.931327,2.719291,
2.149909,4.950798,2.761809,
2.103108,4.968390,2.802698,
2.055621,4.984034,2.843276,
2.007548,4.997774,2.882313,
1.958984,5.009667,2.921316,
1.909986,5.019619,2.960068,
1.860648,5.027716,2.997522,
1.811043,5.033974,3.035103,
1.761235,5.038342,3.073024,
1.711298,5.040824,3.110372,
1.661304,5.041463,-3.135919,
1.611320,5.040257,-3.098634,
1.561417,5.037170,-3.060736,
1.511668,5.032181,-3.023005,
1.462140,5.025341,-2.985587,
1.412903,5.016647,-2.947955,
1.364030,5.006102,-2.910099,
1.315591,4.993709,-2.871700,
1.267670,4.979445,-2.832909,
1.220338,4.963335,-2.794307,
1.173661,4.945418,-2.755793,
1.127709,4.925714,-2.717182,
1.082554,4.904249,-2.678529,
1.038262,4.881055,-2.639897,
0.994898,4.856169,-2.601361,
0.952523,4.829634,-2.562999,
0.911194,4.801497,-2.524899,
0.870962,4.771813,-2.487152,
0.831873,4.740639,-2.449852,
0.793966,4.708039,-2.413094,
0.757271,4.674078,-2.376975,
0.721814,4.638826,-2.340944,
0.687659,4.602310,-2.305335,
0.654801,4.564624,-2.271106,
0.623225,4.525859,-2.238086,
0.592925,4.486087,-2.205709,
0.563923,4.445358,-2.173155,
0.536274,4.403698,-2.141989,
0.509866,4.361243,-2.112652,
0.484708,4.318033,-2.082936,
0.460867,4.274083,-2.055118,
0.438151,4.229542,-2.028734,
0.416661,4.184395,-2.003421,
0.396228,4.138761,-1.979760,
0.376898,4.092648,-1.956978,
0.358565,4.046130,-1.935172,
0.341263,3.999218,-1.914463,
0.324871,3.951980,-1.894187,
0.309486,3.904405,-1.874890,
0.294929,3.856570,-1.856162,
0.281336,3.808452,-1.837600,
0.268565,3.760110,-1.820567,
0.256619,3.711557,-1.802948,
0.245558,3.662794,-1.786126,
0.235252,3.613867,-1.770110,
0.225758,3.564775,-1.753525,
0.217081,3.515533,-1.737866,
0.209129,3.466168,-1.722713,
0.201947,3.416685,-1.706864,
0.195564,3.367093,-1.691683,
0.189888,3.317415,-1.677493,
0.184915,3.267661,-1.662139,
0.180767,3.217832,-1.646878,
0.177314,3.167951,-1.632952,
0.174555,3.118025,-1.618673,
0.172528,3.068065,-1.603637,
0.171272,3.018080,-1.589023,
0.170706,2.968082,-1.575200,
0.170831,2.918081,-1.560912,
0.171694,2.868087,-1.545902,
0.173320,2.818112,-1.531298,
0.175643,2.768165,-1.517330,
0.178665,2.718255,-1.503065,
0.182411,2.668394,-1.487820,
0.186953,2.618599,-1.472703,
0.192205,2.568875,-1.458372,
0.198171,2.519231,-1.443925,
0.204858,2.469679,-1.428408,
0.212362,2.420244,-1.412536,
0.220618,2.370929,-1.397438,
0.229611,2.321743,-1.382380,
0.239348,2.272699,-1.366763,
0.249873,2.223818,-1.350148,
0.261234,2.175125,-1.333702,
0.273361,2.126617,-1.317845,
0.286260,2.078308,-1.301776,
0.299939,2.030215,-1.284491,
0.314500,1.982381,-1.266670,
0.329884,1.934805,-1.249569,
0.346073,1.887498,-1.232494,
0.363072,1.840475,-1.214829,
0.380922,1.793769,-1.195849,
0.399694,1.747425,-1.176892,
0.419300,1.701429,-1.158672,
0.439748,1.655801,-1.140170,
0.461043,1.610562,-1.120286,
0.483289,1.565782,-1.099688,
0.506429,1.521458,-1.079848,
0.530433,1.477597,-1.060096,
0.555306,1.434222,-1.039655,
0.581083,1.391378,-1.017707,
0.607835,1.349136,-0.995818,
0.635462,1.307461,-0.974813,
0.663964,1.266380,-0.953524,
0.693340,1.225919,-0.930753,
0.723683,1.186178,-0.907219,
0.754930,1.147145,-0.884601,
0.787039,1.108817,-0.862197,
0.820003,1.071222,-0.839486,
0.853820,1.034392,-0.814936,
0.888590,0.998460,-0.790247,
0.924182,0.963343,-0.766986,
0.960585,0.929068,-0.743566,
0.997783,0.895657,-0.720007,
