x,y,theta,velocity
-7.539084,108.312238,-1.750335,
-7.578726,108.116227,-1.780999,
-7.613845,107.919360,-1.729509,
-7.650877,107.722870,-1.786604,
-7.696780,107.528262,-1.772392,
-7.719640,107.329884,-1.720635,
-7.758716,107.133754,-1.770581,
-7.793658,106.936865,-1.719337,
-7.827046,106.739715,-1.799838,
-7.873102,106.545092,-1.807259,
-7.906526,106.347947,-1.757834,
-7.949948,106.152762,-1.799508,
-7.987734,105.956494,-1.713499,
-8.025466,105.760181,-1.801599,
-8.067984,105.564808,-1.724277,
-8.093460,105.366529,-1.720132,
-8.134278,105.170820,-1.815144,
-8.175516,104.975184,-1.741329,
-8.211973,104.778556,-1.798666,
-8.259612,104.584364,-1.788497,
-8.302479,104.389016,-1.801326,
-8.344232,104.193471,-1.757824,
-8.377691,103.996376,-1.794824,
-8.421944,103.801340,-1.751010,
-8.455405,103.604173,-1.750590,
-8.496209,103.408441,-1.799459,
-8.540465,103.213429,-1.769874,
-8.579585,103.017297,-1.780374,
-8.627783,102.823279,-1.781903,
-8.670489,102.627904,-1.804416,
-8.715944,102.433139,-1.797296,
-8.753595,102.236716,-1.758727,
-8.800262,102.042382,-1.811290,
-8.843006,101.847021,-1.777148,
-8.887859,101.652125,-1.786970,
-8.931514,101.456950,-1.805123,
-8.981729,101.263399,-1.809758,
-9.028535,101.068954,-1.808471,
-9.078867,100.875428,-1.807579,
-9.125982,100.681058,-1.814816,
-9.176895,100.487689,-1.806843,
-9.224843,100.293530,-1.824788,
-9.279289,100.101108,-1.834067,
-9.330641,99.907814,-1.828033,
-9.381211,99.714367,-1.803280,
-9.428979,99.520158,-1.818098,
-9.485873,99.328424,-1.852114,
-9.540361,99.136008,-1.803734,
-9.587259,98.941591,-1.825412,
-9.640802,98.748916,-1.856294,
-9.692468,98.555711,-1.825647,
-9.744000,98.362501,-1.803734,
-9.791344,98.168189,-1.820820,
-9.846727,97.976036,-1.859463,
-9.902009,97.783830,-1.845717,
-9.948959,97.589440,-1.801843,
-10.001060,97.396366,-1.853590,
-10.054040,97.203520,-1.827805,
-10.108823,97.011204,-1.859463,
-10.164843,96.819212,-1.844230,
-10.214017,96.625396,-1.800778,
-10.262340,96.431336,-1.839080,
-10.310977,96.237370,-1.814933,
-10.362152,96.044039,-1.836727,
-10.417162,95.851771,-1.828567,
-10.468921,95.658620,-1.868962,
-10.525370,95.466754,-1.853429,
-10.580469,95.274497,-1.835761,
-10.632691,95.081438,-1.845121,
-10.689722,94.889750,-1.854786,
-10.746560,94.697999,-1.865372,
-10.806831,94.507303,-1.889455,
-10.869358,94.317328,-1.888016,
-10.934783,94.128344,-1.918530,
-11.004151,93.940761,-1.929094,
-11.077337,93.754682,-1.975618,
-11.153808,93.569900,-1.931639,
-11.223826,93.382560,-1.965963,
-11.303377,93.199086,-2.004134,
-11.385019,93.016518,-1.985094,
-11.469970,92.835464,-2.017170,
-11.559483,92.656640,-2.056112,
-11.653581,92.480165,-2.085520,
-11.750470,92.305217,-2.059654,
-11.848886,92.131143,-2.162270,
-11.960407,91.965122,-2.162343,
-12.071929,91.799101,-2.162270,
-12.191728,91.639196,-2.280875,
-12.322314,91.487713,-2.283504,
-12.455755,91.338755,-2.328342,
-12.594839,91.195061,-2.356194,
-12.737089,91.054491,-2.383616,
-12.884167,90.918983,-2.407976,
-13.035926,90.788734,-2.436547,
-13.193912,90.666160,-2.516973,
-13.362249,90.558571,-2.612170,
-13.539080,90.465275,-2.662975,
-13.717229,90.374415,-2.696772,
-13.897917,90.288674,-2.705598,
-14.080256,90.206562,-2.737354,
-14.267609,90.136976,-2.836600,
-14.462497,90.092798,-2.960532,
-14.659345,90.057435,-2.966512,
-14.856048,90.021279,-2.957361,
-15.053317,89.988534,-3.017458,
-15.252729,89.977500,3.141593,
-15.452363,89.966714,-3.064375,
-15.651685,89.950272,-3.057110,
-15.851215,89.936679,-3.078045,
-16.051108,89.931250,3.141593,
-16.251108,89.931250,3.141593,
-16.450919,89.925581,-3.063953,
-16.646579,89.885927,-3.012200,
-16.841170,89.842227,-2.818530,
-17.026244,89.767123,-2.659373,
-17.193335,89.658494,-2.423586,
-17.330850,89.513482,-2.333105,
-17.457933,89.359863,-2.117446,
-17.546579,89.180702,-1.974141,
-17.620265,88.994817,-1.924186,
-17.682661,88.804851,-1.846490,
-17.729615,88.610467,-1.802644,
-17.779606,88.416830,-1.836507,
-17.825807,88.222248,-1.802644,
-17.878177,88.029265,-1.856078,
-17.933476,87.837064,-1.837466,
-17.982314,87.643151,-1.802428,
-18.031107,87.449208,-1.835657,
-18.079012,87.255054,-1.803509,
-18.129031,87.061424,-1.835408,
-18.177638,86.867438,-1.807012,
-18.227025,86.673646,-1.834337,
-18.275325,86.479586,-1.807012,
-18.325195,86.285917,-1.831704,
-18.372825,86.091687,-1.805864,
-18.423112,85.898127,-1.832181,
-18.469439,85.703583,-1.828575,
-18.519516,85.509960,-1.800141,
-18.567445,85.315806,-1.845684,
-18.621969,85.123382,-1.848866,
-18.673708,84.930205,-1.816009,
-18.723716,84.736602,-1.800141,
-18.771376,84.542390,-1.838645,
-18.819873,84.348379,-1.800141,
-18.867877,84.154251,-1.835558,
-18.916679,83.960309,-1.802644,
-18.963878,83.765986,-1.842967,
-19.012869,83.572103,-1.802644,
-19.060741,83.377956,-1.845129,
-19.116027,83.185751,-1.847692,
-19.169193,82.992984,-1.814182,
-19.215179,82.798344,-1.802644,
-19.265607,82.604837,-1.812615,
-19.311509,82.410176,-1.803091,
-19.362012,82.216692,-1.800304,
-19.408503,82.022185,-1.845780,
-19.458601,81.828591,-1.805745,
-19.506909,81.634536,-1.847813,
-19.555997,81.440687,-1.805126,
-19.605623,81.246974,-1.851564,
-19.654215,81.052996,-1.805873,
-19.704737,80.859514,-1.849436,
-19.752259,80.665259,-1.805873,
-19.803592,80.471987,-1.849436,
-19.850168,80.277492,-1.815740,
-19.901285,80.084163,-1.801289,
-19.947203,79.889507,-1.813702,
-19.997530,79.695971,-1.800141,
-20.044041,79.501465,-1.825898,
-20.097794,79.308847,-1.855933,
-20.150400,79.115892,-1.832640,
-20.201726,78.922632,-1.800141,
-20.248568,78.728201,-1.820233,
-20.297884,78.534404,-1.800141,
-20.345156,78.340081,-1.822383,
-20.391348,78.145579,-1.774718,
-20.433785,77.950138,-1.802877,
-20.478245,77.755149,-1.800141,
-20.526373,77.561041,-1.829734,
-20.574231,77.366876,-1.798541,
-20.622920,77.172910,-1.828315,
-20.665455,76.977594,-1.745887,
-20.707817,76.782227,-1.835982,
-20.755516,76.588040,-1.787331,
-20.800986,76.393297,-1.814338,
-20.841655,76.197609,-1.713783,
-20.877578,76.000957,-1.804301,
-20.921962,75.805954,-1.784954,
-20.954945,75.608737,-1.773257,
-20.999027,75.413678,-1.772392,
-21.033684,75.216765,-1.729633,
-21.076258,75.021431,-1.810802,
-21.115600,74.825425,-1.730284,
-21.151412,74.628711,-1.794460,
-21.197469,74.434112,-1.757330,
-21.221088,74.235859,-1.731704,
-21.259716,74.039661,-1.764316,
-21.294614,73.842765,-1.726719,
-21.316855,73.644153,-1.739097,
-21.355226,73.447898,-1.746573,
-21.386931,73.250460,-1.710351,
-21.402939,73.051276,-1.699798,
-21.442264,72.855223,-1.778133,
-21.473443,72.657713,-1.687667,
-21.490508,72.458531,-1.623482,
-21.523195,72.261504,-1.753660,
-21.555630,72.064190,-1.714448,
-21.577975,71.865498,-1.631194,
-21.592120,71.666238,-1.743649,
-21.625882,71.469154,-1.710383,
-21.650523,71.270694,-1.683978,
-21.667946,71.071480,-1.632847,
-21.678646,70.871840,-1.716289,
-21.712205,70.674703,-1.730848,
-21.740289,70.476713,-1.697296,
-21.760451,70.277764,-1.625385,
-21.766165,70.077897,-1.604769,
-21.786600,69.879199,-1.728187,
-21.816680,69.681511,-1.698975,
-21.839968,69.482878,-1.681609,
-21.856567,69.283593,-1.629793,
