episode,mean,min,max,n_runs
1,33.463990259991625,15.58674653518392,52.09994668961736,20
2,33.8433255427934,20.15494321467486,44.40322022058808,20
3,35.02395146449673,26.25082597142561,48.2149821824878,20
4,35.832614374820125,25.181151725375457,44.80727096433248,20
5,35.43735613719893,19.456221391560398,43.310949296324544,20
6,36.260076028377064,21.841658826235896,46.54694159845136,20
7,36.734004288065805,22.206841968413624,47.44551578448487,20
8,36.380807881486234,22.66267788524965,46.39367885743559,20
9,34.17227674795597,17.988830534880336,45.263798458072216,20
10,34.0560550696737,16.529184992443334,45.09581175538242,20
11,32.13341167544682,12.189219860473797,45.25373683710826,20
12,31.131003202202272,7.141189914291317,47.95580229397698,20
13,30.74639374189469,1.6869485335018208,49.72323248816359,20
14,29.972023602657192,-2.8429068472214567,54.58329532456576,20
15,28.947090304992248,-6.26433950180605,53.36670355413226,20
16,28.039183675282658,-10.611611229272512,52.686643965851545,20
17,27.175214159292217,-14.032994052196203,52.266055822882606,20
18,26.625092679704608,-17.43950036780532,51.96704809395143,20
19,26.451448017799017,-19.94257260752975,51.3923108212705,20
20,26.396917287382802,-22.06371708430197,53.37085270952957,20
21,26.214287563747973,-23.695294958777332,54.74626714138902,20
22,25.962776174087015,-24.44428350295394,57.69408960239591,20
23,25.414493112873195,-25.363365322366324,56.45005125104217,20
24,25.51346095448341,-26.04790350097725,55.18945115344104,20
25,25.297532845396866,-27.077348214103548,53.86795559604885,20
26,24.999151500275413,-27.908965019441755,54.11336878668695,20
27,24.61593739859856,-25.65805892294884,54.381361948872936,20
28,23.84910357535021,-23.451584544103238,54.50441860274045,20
29,23.632790302722636,-24.46539635177283,53.82523594635602,20
30,23.085985230574362,-22.71687768061117,52.95497556073745,20
31,22.802358686898426,-20.409340447744103,53.03192693090756,20
32,21.935086503047195,-18.919972907851616,52.47823196835378,20
33,21.38665616870835,-17.31065211168673,53.70098690575298,20
34,21.21970380835806,-16.127583225386736,54.51227442295262,20
35,20.73292195136628,-14.399295535483024,53.95827138849267,20
36,20.32375385560954,-13.341999585596971,57.48692261851521,20
37,20.058789987894137,-12.146657517753074,59.9231518304592,20
38,19.458841038405964,-11.177276876970083,60.08857077149012,20
39,18.823501351677223,-9.945559651346672,60.23794191550009,20
40,18.13194202929955,-8.73389449518345,60.20888763158232,20
41,18.135051248677126,-7.469770865566516,60.70150113037287,20
42,17.625414858268915,-6.376109295572297,60.83183015425844,20
43,17.210478858240275,-4.691967649561818,60.17894008101266,20
44,16.850123847744207,-4.594759199327242,59.236553847998245,20
45,16.64101891640989,-5.94541694876142,58.66999521089613,20
46,16.417921357356313,-7.274371851785556,58.0001511169648,20
47,16.032503784800177,-8.560921376356303,57.45619538758999,20
48,15.795442229499704,-9.425438477835504,56.8795379118111,20
49,15.475657920834104,-10.60172469874354,56.18270078380972,20
50,15.306739050081006,-9.6591869335093,55.46693068513367,20
51,15.08400720637395,-10.519676451939471,54.55657876901712,20
52,15.124675843364656,-9.314602813525164,53.470596582536544,20
53,15.183391918280051,-8.58532896038992,51.89100526088479,20
54,15.325552012159559,-7.739008495298583,50.95799243199828,20
55,15.254441551341008,-7.090184124278808,49.5243402044348,20
56,15.470072925504677,-5.923876715249305,48.652712113537454,20
57,15.72664110997054,-4.402375271273342,47.77490356278344,20
58,15.994324011565922,-4.302724298351583,47.09520025771062,20
59,16.276821055952247,-4.699508434103244,46.68497085623142,20
60,16.492461233978723,-5.193540894718323,46.24572872970951,20
61,16.695176300581522,-5.3547375916825,46.11740024178441,20
62,16.959541880625796,-5.702273627364687,46.619546201092845,20
63,17.223494757837436,-6.013813657402381,46.38030105159351,20
64,17.35167077411013,-6.60936213789401,46.17456249856113,20
65,17.471340231635153,-7.127302598506307,45.953643169352205,20
66,17.823547720867246,-7.667076359027526,46.08830532006651,20
67,17.943720363608143,-7.84583002703913,45.85955449450663,20
68,17.936863287641646,-8.389139670020006,46.13339817541555,20
69,17.937833661340356,-8.429892410339365,45.9673402406444,20
70,17.999950646948502,-8.805080896560192,46.542608944577424,20
71,18.15926513014915,-8.961891735888265,46.39412690828764,20
72,18.34247953989786,-9.03761337066026,46.50978165391328,20
73,18.510131673436227,-9.12633387407373,46.311944599044566,20
74,18.606087909092835,-8.725460092887063,46.1087868846934,20
