episode,mean,min,max,n_runs
1,0.0,0.0,0.0,20
2,0.0,0.0,0.0,20
3,0.0,0.0,0.0,20
4,0.0,0.0,0.0,20
5,0.0,0.0,0.0,20
6,0.0,0.0,0.0,20
7,0.0,0.0,0.0,20
8,0.0,0.0,0.0,20
9,0.0,0.0,0.0,20
10,0.0,0.0,0.0,20
11,0.0,0.0,0.0,20
12,0.0,0.0,0.0,20
13,0.0,0.0,0.0,20
14,0.0,0.0,0.0,20
15,0.0,0.0,0.0,20
16,0.0,0.0,0.0,20
17,0.0,0.0,0.0,20
18,0.0,0.0,0.0,20
19,0.0,0.0,0.0,20
20,0.0,0.0,0.0,20
21,0.0,0.0,0.0,20
22,0.0,0.0,0.0,20
23,0.0,0.0,0.0,20
24,0.0,0.0,0.0,20
25,0.0,0.0,0.0,20
26,0.0,0.0,0.0,20
27,0.0,0.0,0.0,20
28,0.0,0.0,0.0,20
29,0.0,0.0,0.0,20
30,0.0,0.0,0.0,20
31,0.0,0.0,0.0,20
32,0.0,0.0,0.0,20
33,0.0,0.0,0.0,20
34,0.001470588235294115,0.0,0.0294117647058823,20
35,0.001428571428571425,0.0,0.0285714285714285,20
36,0.00277777777777777,0.0,0.0277777777777777,20
37,0.0027027027027027003,0.0,0.027027027027027,20
38,0.0026315789473684197,0.0,0.0263157894736842,20
39,0.0025641025641025598,0.0,0.0256410256410256,20
40,0.0025,0.0,0.025,20
41,0.0024390243902439003,0.0,0.024390243902439,20
42,0.0023809523809523803,0.0,0.0238095238095238,20
43,0.00232558139534883,0.0,0.0232558139534883,20
44,0.00227272727272727,0.0,0.0227272727272727,20
45,0.00222222222222222,0.0,0.0222222222222222,20
46,0.00217391304347826,0.0,0.0217391304347826,20
47,0.00212765957446808,0.0,0.0212765957446808,20
48,0.0020833333333333303,0.0,0.0208333333333333,20
49,0.00204081632653061,0.0,0.0204081632653061,20
50,0.002,0.0,0.02,20
51,0.00196078431372549,0.0,0.0196078431372549,20
52,0.0019230769230769201,0.0,0.0192307692307692,20
53,0.00188679245283018,0.0,0.0188679245283018,20
54,0.00185185185185185,0.0,0.0185185185185185,20
55,0.002727272727272715,0.0,0.0181818181818181,20
56,0.003571428571428565,0.0,0.0357142857142857,20
57,0.0043859649122807,0.0,0.0526315789473684,20
58,0.005172413793103445,0.0,0.0689655172413793,20
59,0.006779661016949141,0.0,0.0847457627118644,20
60,0.006666666666666656,0.0,0.0833333333333333,20
61,0.00655737704918032,0.0,0.081967213114754,20
62,0.007258064516129025,0.0,0.0806451612903225,20
63,0.00793650793650792,0.0,0.0793650793650793,20
64,0.0078125,0.0,0.078125,20
65,0.0076923076923076745,0.0,0.0769230769230769,20
66,0.009090909090909082,0.0,0.0909090909090909,20
67,0.00970149253731342,0.0,0.0895522388059701,20
68,0.009558823529411748,0.0,0.088235294117647,20
69,0.00942028985507246,0.0,0.0869565217391304,20
70,0.00928571428571427,0.0,0.0857142857142857,20
71,0.009859154929577455,0.0,0.0845070422535211,20
72,0.01111111111111109,0.0,0.0833333333333333,20
73,0.012328767123287671,0.0,0.0821917808219178,20
74,0.0135135135135135,0.0,0.081081081081081,20
75,0.013333333333333319,0.0,0.08,20
76,0.014473684210526309,0.0,0.0789473684210526,20
77,0.01428571428571426,0.0,0.0779220779220779,20
78,0.014102564102564094,0.0,0.0769230769230769,20
79,0.015189873417721506,0.0,0.0759493670886076,20
80,0.015000000000000003,0.0,0.075,20
81,0.014814814814814784,0.0,0.074074074074074,20
82,0.015243902439024376,0.0,0.0853658536585365,20
83,0.015060240963855406,0.0,0.0843373493975903,20
84,0.014880952380952375,0.0,0.0833333333333333,20
85,0.01470588235294116,0.0,0.0823529411764705,20
86,0.01511627906976742,0.0,0.0813953488372093,20
87,0.01609195402298849,0.0,0.0804597701149425,20
88,0.01818181818181816,0.0,0.0909090909090909,20
89,0.020224719101123573,0.0,0.1011235955056179,20
90,0.02055555555555554,0.0,0.1,20
91,0.0214285714285714,0.0,0.1098901098901098,20
92,0.022282608695652163,0.0,0.108695652173913,20
93,0.022580645161290304,0.0,0.1182795698924731,20
94,0.022340425531914877,0.0,0.1170212765957446,20
95,0.0226315789473684,0.0,0.1263157894736842,20
96,0.023437499999999986,0.0,0.125,20
97,0.02371134020618555,0.0,0.134020618556701,20
98,0.023469387755102024,0.0,0.1326530612244898,20
99,0.02373737373737373,0.0,0.1313131313131313,20
100,0.024,0.0,0.14,20
101,0.026500000000000003,0.0,0.14,20
102,0.028000000000000004,0.0,0.14,20
103,0.030000000000000006,0.0,0.15,20
104,0.0315,0.0,0.15,20
105,0.0335,0.0,0.16,20
106,0.035,0.0,0.17,20
107,0.037,0.0,0.18,20
108,0.038,0.0,0.19,20
109,0.0385,0.0,0.19,20
110,0.0385,0.0,0.19,20
111,0.0385,0.0,0.19,20
112,0.04,0.0,0.2,20
113,0.041,0.0,0.21,20
114,0.0415,0.0,0.21,20
115,0.043000000000000003,0.0,0.22,20
116,0.043000000000000003,0.0,0.22,20
117,0.0435,0.0,0.22,20
118,0.0445,0.0,0.22,20
119,0.0455,0.0,0.22,20
120,0.046,0.0,0.22,20
121,0.0465,0.0,0.22,20
122,0.047,0.0,0.22,20
123,0.0475,0.0,0.22,20
124,0.048,0.0,0.22,20
125,0.049,0.0,0.22,20
126,0.0505,0.0,0.23,20
127,0.051500000000000004,0.0,0.24,20
128,0.052500000000000005,0.0,0.25,20
129,0.053500000000000006,0.0,0.25,20
130,0.054000000000000006,0.0,0.25,20
131,0.05600000000000001,0.0,0.26,20
132,0.057999999999999996,0.0,0.26,20
133,0.05950000000000001,0.0,0.27,20
134,0.061,0.0,0.28,20
135,0.0625,0.0,0.29,20
136,0.0635,0.0,0.3,20
137,0.065,0.0,0.31,20
138,0.0665,0.0,0.32,20
139,0.0675,0.0,0.33,20
140,0.0685,0.0,0.34,20
141,0.06999999999999999,0.0,0.35,20
142,0.071,0.0,0.36,20
143,0.07200000000000001,0.0,0.37,20
144,0.073,0.0,0.37,20
145,0.07500000000000001,0.0,0.38,20
146,0.07500000000000001,0.0,0.38,20
147,0.077,0.0,0.38,20
148,0.07750000000000001,0.0,0.38,20
149,0.0795,0.0,0.39,20
150,0.0805,0.0,0.39,20
151,0.08200000000000002,0.0,0.39,20
152,0.0835,0.0,0.4,20
153,0.0855,0.0,0.41,20
154,0.088,0.0,0.41,20
155,0.08950000000000001,0.0,0.42,20
156,0.091,0.0,0.43,20
157,0.09250000000000001,0.0,0.44,20
158,0.093,0.0,0.44,20
159,0.094,0.0,0.44,20
160,0.096,0.0,0.45,20
161,0.0975,0.0,0.46,20
162,0.0995,0.0,0.46,20
163,0.101,0.0,0.47,20
164,0.1025,0.0,0.47,20
165,0.1045,0.0,0.48,20
166,0.10600000000000001,0.0,0.48,20
167,0.1075,0.0,0.49,20
168,0.1105,0.0,0.5,20
169,0.11300000000000002,0.0,0.51,20
170,0.11500000000000002,0.0,0.52,20
171,0.1165,0.0,0.53,20
172,0.11750000000000001,0.0,0.53,20
173,0.11950000000000001,0.0,0.53,20
174,0.12000000000000002,0.0,0.54,20
175,0.12200000000000003,0.0,0.55,20
176,0.12250000000000001,0.0,0.56,20
177,0.125,0.0,0.57,20
178,0.1265,0.0,0.58,20
179,0.12800000000000003,0.0,0.59,20
