wall_id,vertex_id,x,y
0,BEGIN,nan,nan
0,0,60.469521,120.043680
0,1,60.436257,120.037391
0,2,60.440546,120.040000
0,3,60.360993,120.040000
0,4,60.263396,120.039885
0,5,60.114397,120.035127
0,6,60.018317,120.025781
0,7,59.981067,120.024316
0,8,59.915155,120.021742
0,9,59.860350,120.019979
0,10,59.799854,120.019999
0,11,59.632992,120.016984
0,12,59.524903,120.004348
0,13,59.507854,120.004852
0,14,59.435133,120.002137
0,15,59.377812,120.000072
0,16,59.262077,119.998625
0,17,59.149077,119.989789
0,18,59.098362,119.987223
0,19,59.024898,119.984037
0,20,58.959170,119.981051
0,21,58.824290,119.976295
0,22,58.741339,119.965996
0,23,58.712359,119.966692
0,24,58.621601,119.962220
0,25,58.490624,119.955276
0,26,58.429617,119.946681
0,27,58.396978,119.947828
0,28,58.280512,119.941543
0,29,58.159700,119.932532
0,30,58.096521,119.924674
0,31,58.061051,119.923733
0,32,57.965591,119.918832
0,33,57.872270,119.912212
0,34,57.773501,119.905049
0,35,57.664684,119.894204
0,36,57.628711,119.889039
0,37,57.589694,119.888646
0,38,57.467323,119.881755
0,39,57.358127,119.871280
0,40,57.302918,119.865643
0,41,57.205455,119.859086
0,42,57.125600,119.849123
0,43,57.048093,119.844262
0,44,56.967009,119.834455
0,45,56.925150,119.832161
0,46,56.788143,119.822025
0,47,56.704130,119.809394
0,48,56.680069,119.808723
0,49,56.567016,119.800464
0,50,56.484625,119.790460
0,51,56.393604,119.783429
0,52,56.316738,119.772636
0,53,56.227083,119.765928
0,54,56.141845,119.753002
0,55,56.110266,119.751395
0,56,56.005767,119.742638
0,57,55.913604,119.732004
0,58,55.814925,119.721700
0,59,55.729911,119.709386
0,60,55.679578,119.704038
0,61,55.602490,119.696122
0,62,55.488266,119.683563
0,63,55.427495,119.673545
0,64,55.355461,119.668123
0,65,55.277931,119.656923
0,66,55.186240,119.649447
0,67,55.102362,119.636044
0,68,55.046074,119.632006
0,69,54.908524,119.614535
0,70,54.831728,119.601204
0,71,54.783886,119.595678
0,72,54.702761,119.585558
0,73,54.621708,119.575307
0,74,54.552667,119.566452
0,75,54.442049,119.553546
0,76,54.358372,119.539004
0,77,54.287964,119.530890
0,78,54.189170,119.515179
0,79,54.143718,119.508214
0,80,54.053088,119.497899
0,81,53.969436,119.484163
0,82,53.883852,119.473887
0,83,53.798071,119.459031
0,84,53.738241,119.451629
0,85,53.641403,119.437560
0,86,53.546888,119.422809
0,87,53.475507,119.410629
0,88,53.391421,119.398392
0,89,53.319705,119.385548
0,90,53.264905,119.378509
0,91,53.161122,119.363848
0,92,53.074367,119.349039
0,93,53.001102,119.337944
0,94,52.901745,119.321695
0,95,52.832188,119.308797
0,96,52.761809,119.298427
0,97,52.661819,119.281461
0,98,52.574166,119.265550
0,99,52.528018,119.256601
0,100,52.445944,119.245713
0,101,52.356660,119.229139
0,102,52.263387,119.214959
0,103,52.172005,119.196051
0,104,52.102108,119.184429
0,105,52.036571,119.171298
0,106,51.975677,119.162558
0,107,51.870206,119.144791
0,108,51.769435,119.125702
0,109,51.704119,119.112288
0,110,51.631512,119.100068
0,111,51.529028,119.080296
0,112,51.453920,119.064720
0,113,51.375787,119.049992
0,114,51.287065,119.031739
0,115,51.243840,119.022425
0,116,51.169318,119.011240
0,117,51.060605,118.990090
0,118,50.983939,118.974863
0,119,50.900051,118.958481
0,120,50.805833,118.938954
0,121,50.734205,118.923124
0,122,50.652943,118.907081
0,123,50.568768,118.888245
0,124,50.507889,118.875700
0,125,50.432417,118.860842
0,126,50.350366,118.844277
0,127,50.267375,118.827435
0,128,50.171500,118.807310
0,129,50.097287,118.790132
0,130,50.017075,118.773797
0,131,49.934648,118.754587
0,132,49.850611,118.736813
0,133,49.775807,118.718581
0,134,49.712911,118.705820
0,135,49.629283,118.687581
0,136,49.538730,118.668061
0,137,49.457964,118.648863
0,138,49.379636,118.631680
0,139,49.290802,118.610551
0,140,49.209818,118.591351
0,141,49.130444,118.572024
0,142,49.073749,118.558297
0,143,49.006411,118.544285
0,144,48.900476,118.520611
0,145,48.805065,118.496497
0,146,48.731109,118.477933
0,147,48.664661,118.461383
0,148,48.590875,118.444219
0,149,48.502530,118.422851
0,150,48.420755,118.402412
0,151,48.342966,118.383071
0,152,48.264392,118.363403
0,153,48.186926,118.344019
0,154,48.110853,118.324993
0,155,48.036513,118.306576
0,156,47.937193,118.282046
0,157,47.850464,118.257640
0,158,47.789882,118.241916
0,159,47.713246,118.222339
0,160,47.633028,118.201538
0,161,47.547554,118.179290
0,162,47.464279,118.156618
0,163,47.396493,118.138286
0,164,47.324868,118.119898
0,165,47.227376,118.094372
0,166,47.148956,118.071640
0,167,47.087630,118.055611
0,168,46.997294,118.031725
0,169,46.915678,118.008540
0,170,46.831091,117.985508
0,171,46.753777,117.962557
0,172,46.683651,117.943514
0,173,46.606053,117.921391
0,174,46.524662,117.899090
0,175,46.444184,117.875597
0,176,46.374911,117.856243
0,177,46.286837,117.831582
0,178,46.202593,117.806513
0,179,46.118222,117.781820
0,180,46.050814,117.760734
0,181,45.972974,117.739151
0,182,45.891421,117.713758
0,183,45.814042,117.691638
0,184,45.727921,117.664764
0,185,45.672880,117.648050
0,186,45.591084,117.625329
0,187,45.501932,117.597817
0,188,45.431582,117.576853
0,189,45.334296,117.547542
0,190,45.252558,117.520359
0,191,45.196933,117.503207
0,192,45.121088,117.480602
0,193,45.033128,117.453501
0,194,44.957114,117.429355
0,195,44.873154,117.403452
0,196,44.789090,117.375723
0,197,44.721760,117.354071
0,198,44.642742,117.329133
0,199,44.559000,117.301821
0,200,44.482566,117.276700
0,201,44.404682,117.251221
0,202,44.343398,117.230756
0,203,44.251713,117.202741
0,204,44.150716,117.167003
0,205,44.090228,117.146034
0,206,44.021490,117.123262
0,207,43.942717,117.096957
0,208,43.867633,117.071672
0,209,43.796217,117.047915
0,210,43.722074,117.023527
0,211,43.641762,116.997061
0,212,43.559224,116.969295
0,213,43.472945,116.939839
0,214,43.383385,116.908056
0,215,43.304551,116.879202
0,216,43.247999,116.858642
0,217,43.184880,116.837718
0,218,43.086915,116.804346
0,219,42.995997,116.770643
0,220,42.934896,116.748142
0,221,42.875762,116.727639
0,222,42.779244,116.694694
0,223,42.695661,116.662734
0,224,42.639405,116.642936
0,225,42.551529,116.612069
0,226,42.466901,116.580313
0,227,42.393378,116.553287
0,228,42.310696,116.522406
0,229,42.248575,116.498576
